Epoch[106]-val   avg_loss=0.268 avg_top1=0.795 avg_top2=0.953 avg_top3=0.972 avg_iou=0.535 
Epoch[107]-train avg_loss=0.267 avg_top1=0.804 avg_top2=0.947 avg_top3=0.965 avg_iou=0.500 
Epoch[107]-val   avg_loss=0.267 avg_top1=0.800 avg_top2=0.950 avg_top3=0.971 avg_iou=0.535 
Epoch[108]-train avg_loss=0.267 avg_top1=0.802 avg_top2=0.948 avg_top3=0.965 avg_iou=0.500 
Epoch[108]-val   avg_loss=0.272 avg_top1=0.797 avg_top2=0.952 avg_top3=0.972 avg_iou=0.535 
Epoch[109]-train avg_loss=0.268 avg_top1=0.804 avg_top2=0.949 avg_top3=0.966 avg_iou=0.501 
Epoch[109]-val   avg_loss=0.275 avg_top1=0.796 avg_top2=0.951 avg_top3=0.971 avg_iou=0.535 
Epoch[110]-train avg_loss=0.263 avg_top1=0.808 avg_top2=0.950 avg_top3=0.966 avg_iou=0.500 
Epoch[110]-val   avg_loss=0.270 avg_top1=0.794 avg_top2=0.952 avg_top3=0.973 avg_iou=0.535 
Epoch[111]-train avg_loss=0.268 avg_top1=0.804 avg_top2=0.949 avg_top3=0.966 avg_iou=0.500 
Epoch[111]-val   avg_loss=0.265 avg_top1=0.798 avg_top2=0.955 avg_top3=0.973 avg_iou=0.535 
Epoch[112]-train avg_loss=0.268 avg_top1=0.804 avg_top2=0.948 avg_top3=0.966 avg_iou=0.500 
Epoch[112]-val   avg_loss=0.270 avg_top1=0.796 avg_top2=0.953 avg_top3=0.973 avg_iou=0.535 
Epoch[113]-train avg_loss=0.264 avg_top1=0.805 avg_top2=0.950 avg_top3=0.967 avg_iou=0.500 
Epoch[113]-val   avg_loss=0.271 avg_top1=0.797 avg_top2=0.949 avg_top3=0.969 avg_iou=0.535 
Epoch[114]-train avg_loss=0.259 avg_top1=0.808 avg_top2=0.952 avg_top3=0.968 avg_iou=0.500 
Epoch[114]-val   avg_loss=0.266 avg_top1=0.798 avg_top2=0.953 avg_top3=0.973 avg_iou=0.535 
Epoch[115]-train avg_loss=0.262 avg_top1=0.804 avg_top2=0.950 avg_top3=0.966 avg_iou=0.500 
